"content_id","age_band","content_type","english_review_status","native_myanmar_review_status","clinical_review_status","evidence_status","safety_review_status","reviewer","review_date","notes","blocking_issue","publication_eligibility"
"ms_2_5y_fine_motor_1","2.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2_5y_language_1","2.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_water_pouring","2 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_2y_daily_routine","2 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_2y_language","2 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2y_daily_routine_1","2 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2y_gross_motor_1","2 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2y_problem_solving_1","2 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2y_speech_1","2 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_goodnight_moon_friend","2 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_little_seed","2 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_follow_the_pattern","3.5 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3_5y_communication_1","3.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3_5y_fine_motor_1","3.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3_5y_school_readiness_1","3.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_sharing_mango","3.5 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_color_sort","3 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_3y_cognitive","3 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_3y_social","3 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3y_cognitive_1","3 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3y_gross_motor_1","3 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3y_school_readiness_1","3 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_3y_social_1","3 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_taking_turns","3 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_visit_to_doctor","3 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_waiting_at_clinic","3 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_when_i_feel_angry","3 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_draw_and_tell","4.5 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4_5y_cognitive_1","4.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4_5y_daily_routine_1","4.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4_5y_fine_motor_1","4.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_obstacle_course","4 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_story_sequence","4 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_4y_problem_solving","4 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_4y_school_readiness","4 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4y_gross_motor_1","4 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4y_language_1","4 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4y_problem_solving_1","4 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_4y_school_readiness_1","4 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_first_day_school","4 years","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_name_writing","5 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_5y_gross_motor_1","5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_5y_language_1","5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_5y_school_readiness_1","5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_5y_self_help_1","5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
